 name,food group
 acacia gum,null
 ACESULFAME POTASSIUM,null
 ACETIC ACID,null
 Acetylated Distarch Adipate,null
 Acetylated Distarch Glycerol,null
 Acetylated Distarch Oxypropanol,null
 Acetylated Distarch Phosphate,null
 Acid hydrolyzed proteins,null
 Acid Modified Starch,null
 Aconitic Acid,null
 Adipic Acid,null
 Agar-agar,algae
 almond butter,nuts
 almond flour,nuts
 almonds,nuts
 alpha-Tocopherol acetate,null
 Aluminum ammonium sulfate,null
 Aluminum calcium silicate,null
 Aluminum hydroxide,null
 Aluminum oleate,null
 Aluminum oleate (packaging),null
 Aluminum palmitate (packaging),null
 Aluminum sodium sulfate,null
 Aluminum sulfate,null
 Ammoniated Glycyrrhizin,null
 Ammonium alginate,null
 Ammonium bicarbonate,null
 Ammonium carbonate,null
 AMMONIUM CHLORIDE,null
 Ammonium citrate,null
 Ammonium hydroxide,null
 Ammonium phosphate dibasic (Report 32),null
 Ammonium phosphate dibasic (Report 34),null
 Ammonium phosphate monobasic (Report 32),null
 Ammonium phosphate monobasic (Report 34),null
 Ammonium sulfate,null
 ANNATTO,null
 ANNATTO COLOR,null
 ANNATTO EXTRACT COLOR,null
 ANNATTO EXTRACT FOR COLOR,null
 APOCAROTENAL,null
 APO-CAROTENAL,null
 Apple,null
 APPLE CIDER VINEGAR,null
 apple juice concentrate,null
 APPLE PUREE CONCENTRATE,null
 Arrowroot Starch,null
 ARTIFICIAL FLAVOR,null
 Artificial Flavors,null
 ASCORBIC ACID,null
 Ascorbyl palmitate (palmitoyl L-ascorbic),null
 AUTOLYZED YEAST,null
 AUTOLYZED YEAST EXTRACT,null
 AZODICARBONAMIDE,null
 BACON,pork
 BACON (CURED WITH WATER,pork
 BACON CURED WITH: WATER,pork
 BACON IS CURED WITH: WATER,pork
 BAKING SODA,null
 BARBECUE SAUCE: MOLASSES,mustard
 BARLEY MALT,gluten
 BARLEY MALT EXTRACT,gluten
 BASIL,null
 BATTERED WITH: ENRICHED BLEACHED WHEAT FLOUR (ENRICHED WITH NIACIN,gluten
 BAY LEAF,null
 BEEF BASE,beef
 BEEF EXTRACT,beef
 BEEF FAT FLAVOR,beef
 BEEF FLAVOR [AUTOLYZED YEAST EXTRACT,beef
 BEEF STOCK,beef
 BEER,gluten
 Beeswax (yellow or white),honey
 Bentonite,null
 Benzoic Acid,null
 BHA,null
 BHT,null
 BHT for freshness,null
 BICARBONATE,null
 BIOTIN,null
 BLACK CUMIN,null
 BLACK PEPPER,null
 Bleached Starch,null
 BLUE 1,null
 BLUE 1 LAKE,null
 blue 2 lake,null
 blueberry,null
 BREAD CRUMBS (FLOUR [UNBLEACHED WHEAT FLOUR,gluten
 BREAD CRUMBS (UNENRICHED UNBLEACHED FLOUR,gluten
 BREADCRUMBS (BLEACHED WHEAT FLOUR,gluten
 BREADED WITH: BLEACHED WHEAT FLOUR,gluten
 BREADED WITH: ENRICHED BLEACHED WHEAT FLOUR (ENRICHED WITH NIACIN,gluten
 BREADED WITH: ENRICHED BLEACHED WHEAT FLOUR (NIACIN,gluten
 BREADED WITH: ENRICHED FLOUR (WHEAT FLOUR,gluten
 Breaded with: Enriched Wheat Flour (Niacin,gluten
 Breaded with: Enriched Wheat Flour (Wheat Flour,gluten
 Breading set in Soybean Oil,soy
 Brown algae,algae
 brown rice syrup,null
 BROWN SUGAR,null
 BUN INGREDIENTS: ENRICHED UNBLEACHED WHEAT FLOUR (WHEAT FLOUR,gluten
 BUTTER,milk
 BUTTER (CREAM,milk
 Butter (pasteurized sweet cream,milk
 buttermilk,milk
 Buttermilk Blend (Buttermilk,milk
 BUTTERMILK POWDER (SWEET CREAM,milk
 Butylated Hydroxyanisole (BHA),null
 Butylated Hydroxytoluene (BHT),null
 CAFFEINE,null
 Calcium acetate,null
 Calcium alginate,algae
 CALCIUM CARBONATE,null
 Calcium caseinate,milk
 Calcium Chloride,null
 Calcium citrate,null
 CALCIUM DISODIUM EDTA [PROTECTS FLAVOR],null
 Calcium gluconate,null
 Calcium glycerophosphate,null
 Calcium glycerophosphate (packaging),null
 Calcium hexametaphosphate,null
 Calcium hydroxide,null
 Calcium hypophosphite,null
 Calcium iodate,null
 Calcium Lactate,null
 Calcium L-ascorbate,null
 Calcium oxide,null
 CALCIUM PANTOTHENATE,null
 CALCIUM PHOSPHATE,null
 Calcium phosphate dibasic,null
 Calcium phosphate monobasic,null
 Calcium phosphate tribasic,null
 Calcium phytate,null
 CALCIUM PROPIONATE,null
 Calcium pyrophosphate,null
 Calcium silicate,null
 CALCIUM SODIUM EDTA [PROTECTS FLAVOR] NATURAL FLAVOR,null
 Calcium sorbate,null
 Calcium stearate,veganCheck
 CALCIUM SULFATE,null
 CANE SUGAR,null
 CANOLA,null
 CANOLA OIL,null
 Caprylic Acid,veganCheck
 CARAMEL,corn
 CARAMEL COLOR,corn
 CARAMEL POWDER,corn
 Carbon dioxide,sulphite
 Carbonyl Iron,null
 Carbonyl Iron (packaging),null
 Carboxymethyl cellulose (packaging),null
 Carnauba wax,null
 Carob Bean Gum,null
 Carotene (beta-carotene),null
 CARRAGEENAN,algae
 Casein,milk
 cashew butter,nuts
 CASHEWS,nuts
 CELERY POWDER,celery
 Cellulose,null
 Cellulose acetate(packaging),null
 CELLULOSE GUM,null
 CELLULOSE POWDER,null
 Chardonnay Wine,null
 CHEDDAR CHEESE (CULTURED MILK,milk
 CHEDDAR CHEESE (MILK,milk
 CHEDDAR CHEESE (PASTEURIZED MILK,milk
 CHEESE BLEND (MOZZARELLA (PASTEURIZED MILK,milk
 CHEESE CULTURE,milk
 CHEESE CULTURES,milk
 CHEESE CUTLURE,milk
 CHEESE MADE WITH SKIM MILK (SKIM MILK,milk
 Cheese Powder ,milk
 cherry puree concentrate,null
 CHICKEN BASE [ROASTED CHICKEN,chicken
 CHICKEN BREAST FLAVOR,chicken
 Chicken Breast Strips (Chicken Breast Meat with Rib Meat,chicken
 CHICKEN FAT,chicken
 Chicken Meat,chicken
 Chicken Protein,chicken
 CHILI PEPPER,null
 CHOCOLATE,milk
 CHOCOLATE EXTRACT,milk
 chocolate liquor,null
 Cholic acid,beef
 Choline Bitartrate,veganCheck
 Choline Chloride,veganCheck
 CHROMIUM CHLORIDE,null
 Chymosin Preparation,null
 CIDER VINEGAR,null
 cinnamon,null
 cinnamon topping (sugar,null
 CITRIC ACID,null
 Citric Acid Preservative,null
 citrus pectin,null
 Clay (kaolin) (packaging),null
 Clove Bud Extract,null
 Clove Bud Oil,null
 Clove Bud Oleoresin,null
 Clove Leaf Oil,null
 Clove Stem Oil,null
 cocoa,null
 Cocoa (Processed with Alkali),null
 COCOA BUTTER,null
 COCOA PROCESSED WITH ALKALI,null
 coconut,null
 Coconut Oil,null
 Coconut oil (packaging),null
 COFFEE EXTRACT,null
 cold pressed coconut oil,null
 COLLAGEN CASING,beef
 Color Added (Including Yellow 5 and Yellow 6),null
 CONTAINS UP TO 10% WATER,null
 Copper (cupric) gluconate,null
 Copper (cupric) sulfate,null
 Copper Gluconate,null
 CORN BRAN PRODUCT,corn
 Corn dextrins (packaging),corn
 CORN OIL,corn
 CORN PROTEIN,corn
 Corn silk,corn
 CORN STARCH,corn
 CORN STARCH CONCENTRATE,corn
 Corn Sugar (Dextrose),corn
 CORN SYRUP,corn
 CORN SYRUP SOLIDS,corn
 CORNSTARCH,corn
 COTTONSEED,null
 Crackermeal [Bleached Wheat Flour,gluten
 CREAM,milk
 CRUSHED RED PEPPERS,null
 Crust:  Enriched Wheat Flour (Flour,gluten
 Cuprous iodide,null
 D- or DL- Calcium pantothenate,null
 D- or DL- Sodium pantothenate,null
 D(-)-Lactic acid,null
 Dark Chicken,chicken
 dates,null
 DEGERMINATED YELLOW CORN FLOUR,corn
 DEHYDRATED BELL PEPPER,null
 DEHYDRATED GARLIC,null
 DEHYDRATED ONION,null
 Desoxycholic acid,null
 Dextran,null
 Dextrins,null
 DEXTROSE,null
 Diacetyl,null
 Diatomaceous earth (filter aid),null
 Dietary Iron,null
 Dilauryl thiodipropionate,null
 DIPOTASSIUM PHOSPHATE,null
 DISODIUM GUANYLATE,veganCheck
 DISODIUM INOSINATE,beef
 Disodium Inosinate and Disodium Guanylate,beef
 DISODIUM INOSINATE AND GUANYLATE,beef
 DISODIUM INOSINATE/DISODIUM GUANYLATE,beef
 Disodium Phosphate,null
 D-Pantothenyl alcohol,null
 DRIED BEEF STOCK,beef
 DRIED BLUEBERRIES,null
 Dried Cheese Blend (Gouda and Edam Cheeses [Cultured Milk,milk
 DRIED CRANBERRIES,null
 Dried Garlic,null
 Dried Onion,null
 DRIED ONIONS,null
 Dried Red Bell Pepper,null
 DRIED WHEY,milk
 EGG WHITES,eggs
 EGG WHTIES,eggs
 eggs,eggs
 ENRICHED BLEACHED WHEAT FLOUR (ENRICHED WITH NIACIN,gluten
 ENRICHED BLEACHED WHEAT FLOUR (WHEAT FLOUR,gluten
 ENRICHED FLOUR (WHEAT FLOUR,gluten
 Enriched Flour (wheat flour bleached,gluten
 Enriched Pasta (Semolina Wheat Flour,gluten
 Enriched Pasta [Durum Wheat Semolina,gluten
 Enriched Wheat Flour (Niacin,gluten
 Enriched Wheat Flour (Wheat Flour,gluten
 Enzymatically hydrolyzed casein,milk
 FILTERED WATER,null
Fish oil, hydrogenated (packaging),fish
 FLAVOR [MALTODEXTRIN,corn
 Flavor Blend (Maltodextrin,corn
 FLOUR,gluten
 FORTIFICATION,null
 fructose,null
 Fruit Juice from Concentrate (Water,null
 GARLIC,null
 Garlic and Oil of Garlic,null
 GARLIC POWDER,null
 GELATIN,fish
 GELLAN GUM,null
 GLYCERIN,veganCheck
 Glycerin and Glycerides,veganCheck
 Glycocholic acid,veganCheck
 Glycyrrhiza,null
 GREEN PEPPERS,null
 GRILL FLAVOR (MALTODEXTRIN,corn
 GROUND BEEF,beef
 GROUND CELERY SEED,celery
 GROUND MUSTARD,mustard
 ground vanilla beans,null
 GUAR GUM,null
 GUM ARABIC,null
 Gum Ghatti,null
 Gum guaiac,null
 Gum Tragacanth,null
 Helium gas,null
 HERBS,null
 High Amylose Cornstarch,corn
 HIGH FRUCTOSE CORN SYRUP,corn
 HONEY,honey
 Hydrochloric acid,null
 Hydrogen peroxide,null
 HYDROGENATED AND/OR PARTIALLY HYDROGENATED PALM KERNEL,null
 HYDROGENATED COCONUT OIL,null
 Hydrogenated soybean oil,soy
 Hydrogenated tallow (packaging),veganCheck
 Hydrolyzed Corn,corn
 HYDROLYZED CORN PROTEIN,corn
 HYDROLYZED SOY,soy
 HYDROLYZED SOY PROTEIN,soy
 Hydroxypropyl Distarch Glycerol,null
 Hydroxypropyl Distarch Phosphate,null
 HYROLYZED SOY PROTEIN,soy
 Indian Dill Seed,null
 Inositol,null
 invert cane syrup,null
 INVERT SUGAR,null
 Isolated Soy Protein Product [Isolated Soy Protein,soy
 KETCHUP (TOMATO CONCENTRATE,null
 KETCHUP (TOMATO CONCENTRATE MADE FORM RED RIPE TOMATOES,null
 KETCHUP (TOMATO CONCENTRATE MADE FROM RED RIPE TOMATOES,null
 KIBBLED PUMPKIN SEEDS,null
 LACTIC ACID POWDER (MODIFIED CORN STARCH,corn
 Lactose,milk
 lemon juice concentrate,null
 LEMON JUICE POWDER (CORN SYRUP SOLIDS,corn
 LEMON JUICE SOLIDS (CORN SYRUP SOLIDS,corn
 LESS THAN 2 PERCENT SOYBEAN OIL,soy
 LESS THAN 2% OF: Butter (Cream,milk
 LESS THAN 2% OF: Cheeses (Enzyme Modified Cheddar and Pasteurized Process Cheddar [Pasteurized Milk,milk
 LESS THAN 2% OF: SALT,null
 LESS THAN 2% SALT,null
 LESS THAN 2% SALT MUSTARD,mustard
 LESS THAN 2% SOYBEAN OIL,soy
 LIME JUICE CONCENTRATE,null
 LIME JUICE POWDER (CORN SYRUP SOLIDS,corn
 LIME OIL,null
 MALT EXTRACT,gluten
 malt flavor,gluten
 MALTODEXTRIN,corn
 Meatballs (Pork,pork
 Mechanically Separated Chicken,chicken
 MILK PROTEIN CONCENTRATE,milk
 MILKFAT,milk
 MODIFIED CORN STARCH,corn
 modified food starch and corn syrup solids,corn
 Modified Whey,milk
 MODIFIED WHEY COCOA (PROCESSED WITH ALKALI),milk
 MONOSODIUM GLUTAMATE,corn
 Monosodium L-glutamate,corn
 Mustard,mustard
 Mustard and Oil of Mustard (Brown and Yellow),mustard
 MUSTARD FLOUR,mustard
 MUSTARD SEED,mustard
 Natural and Artificial Flavor,null
 NATURAL FLAVORS (CONTAINS MALTODEXTRIN),corn
 NATURAL FLAVORS (INCLUDES HICKORY SMOKE FLAVOR) BEEF EXTRACT,beef
 NATURAL FLAVORS INCLUDING SMOKE (CONTAINS MALTODEXTRIN,corn
 Natural Grill Flavor (Maltodextrin,corn
 NONFAT DRIED MILK,milk
 NONFAT DRY MILK,milk
 NONFAT MILK,milk
 Nutmeg and Mace,nuts
 OIL OF GARLIC,null
 OLIVE OIL/CANOLA BLEND,null
 ONION,null
 ONION POWDER,null
 ONIONS,null
 ORGANIC BLACK PEPPER,null
 ORGANIC PARSLEY,null
 ORGANIC PASTA (ORGANIC DURUM WHEAT FLOUR),gluten
 ORGANIC RICOTTA CHEESE,milk
 ORGANIC WHOLE EGGS,eggs
 PALM,null
 PALM AND/OR COCONUT OIL,null
 PALM KERNEL AND PALM OIL,null
 palm oil,null
 PAPRIKA,null
 PAPRIKA EXTRACT COLOR,null
 PAPRIKA FOR SPICE AND COLORING,null
 PAPRIKA OLEORESIN COLOR,null
 Parmesan Cheese (Cheese [Pasteurized Milk,milk
 PARSLEY,null
 PARTIALLY HYDROGENATED COTTONSEED AND SOYBEAN OIL,soy
 PARTIALLY HYDROGENATED SOYBEAN AND COTTONSEED OIL,soy
 PARTIALLY HYDROGENATED SOYBEAN AND/OR COTTONSEED OIL,soy
 partially hydrogenated soybean oil,soy
 passion fruit juice concentrate*,null
 PASTEURIZED PROCESSED CHEDDAR CHEESE (CHEDDAR CHEESE [CULTURED MILK,milk
 PASTEURIZED SWEET CREAM,milk
 Peach,null
 peanut butter (peanuts),peanuts
 peanut butter (roasted peanuts),peanuts
 PEANUT OIL,peanuts
 Peanut oil (packaging),peanuts
 PEANUTS,peanuts
 Pear,null
 Pineapple,null
 PINEAPPLE JUICE CONCENTRATE,null
 pineapple juice concentrate,null
 PISTACHIOS,nuts
 PORK,pork
 POTATO EXTRACT,null
 POTATO FLOUR,null
 POTATOES,null
 Predusted and Battered with: Water,null
 PREPARED MUSTARD (WATER,mustard
 pumpkin seeds,null
 RAVIOLI (ORGANIC FLOUR,gluten
 Red algae,algae
 RED PEPPER,null
 RED WINE VINEGAR,null
 reduced iron,null
 Reduced iron (packaging),null
 Rennet,milk
 RESISTANT CORN STARCH,corn
 Riboflavin,veganCheck
 RIBOFLAVIN [VITAMIN B2],veganCheck
 RIBOFLAVIN AND FOLIC ACID,veganCheck
 Riboflavin-5'-phosphate,veganCheck
 RICE FLOUR,null
 RICE STARCH,null
 ROASTED ALMONDS (ALMONDS,nuts
 ROASTED ROTISSERIE GLAZE (WATER,null
 ROASTED SOYBEANS,soy
 ROLLED OATS,null
 ROMANO CHEESE (PASTEURIZED COW'S MILK,milk
 ROMANO CHEESE (PASTUERIZED COW'S MILK,milk
 ROSEMARY EXTRACT FOR FRESHNESS,null
 SAFFLOWER,null
 SAFFLOWER AND/OR SUNFLOWER OIL,null
 SALT,null
 SALT HYDROLYZED CORN PROTEIN,corn
 SAVORY GLAZE (WATER),null
 SEA SALT,null
 SEASONING (DEXTROSE),corn
 Seasoning (Maltodextrin),corn
 SEASONING (SALT),null
 SEASONING (TOMATO POWDER,null
 Seasoning [Dextrose,corn
 SEASONING [FLAVOR (FROM CORN OIL,corn
 SEASONING [SOY SAUCE SOLIDS (SOY BEANS,soy
 SEASONING [SPICES,null
 SEMI SWEET CHOCOLATE (SUGAR),null
 SEMISWEET CHOCOLATE (CHOCOLATE,null
 SEMISWEET CHOCOLATE CHIPS (DRIED CANE SYRUP),corn
 semi-sweet chocolate chunks,null
 semisweet chocolate chunks (dried cane syrup,corn
 SEMISWEET CHOCOLATE CHUNKS (SUGAR,null
 SESAME OIL,sesame
 SESAME SEEDS,sesame
 Silica aerogel,null
 SILICON DIOXIDE,sulphite
 Silicon dioxides,sulphite
 SKIM MILK,milk
 SODIUM,null
 SODIUM ACETATE,null
 SODIUM CASEINATE,milk
 Sodium Phosphate and Chicken Protein,chicken
